General parameters:
Start time: 2023              8              1             23              1       7.021138
Finish time: 2023              8              2              3             12      53.985715
Raster type: raster_jump
Horizontal range (nm): -3138001.000000,-3338001.000000
Vertical range (nm): 95000.000000,-105000.000000
Horizontal pixel size (nm): 2000.000000
Vertical pixel size (nm): 2000.000000
Dwell time (ms): 1005.000000
Source chamber pressure: 2.00e+3
Differential chamber pressure: 8.32e-07
Sample chamber pressure: 3.71e-08
Initial position (nm): -3208525.000000,15500.000000,-1000000.000000
==========
Instrument status: 
0:Data Directory:/icon/data/2023_07_MoS2_5um/
1:Sample:MoS2
2:Comments:no
3:PinholePlate:#C13
4:z_Zero:4200
5:Operator:djw77/nav31/kw570
==========
shemscan inputs: 
type:raster_jump
hori_range:-3138001 -3338001
hori_res:2000
vert_range:95000 -105000
vert_res:2000
pause:0.35
data_path:/icon/data/2023_07_MoS2_5um/
N_dwell:67
is_scripted:0
undersample:100
resample:1
==========
Detector params:
Sampling period (ms): 15.000000
N dwell: 67.000000
Filament current (A): 1.540000
Filament emission (mA): 1.452816
Solenoid current (A): NaN
Solenoid shim current (A): NaN
Lens params:
0  685
1  300
2  125
3      -0.002
4       -0.01
5       0.012
6         0.8
7         2.1
8         2.8
9  3000
10  1450
11         0.85
12   0
==========
Data:
x,y,I,P_beam,T_lab
3000.000000,-3190001.000000,0.000000,68.800000,21.250000
3000.000000,-3188001.000000,0.000000,68.800000,21.250000
3000.000000,-3186001.000000,0.000000,68.800000,21.250000
3000.000000,-3184001.000000,0.000000,68.800000,21.250000
3000.000000,-3182001.000000,0.000000,68.800000,21.250000
3000.000000,-3180001.000000,0.000000,68.800000,21.250000
3000.000000,-3178001.000000,0.000000,68.800000,21.250000
3000.000000,-3176001.000000,0.000000,68.800000,21.250000
3000.000000,-3174001.000000,0.000000,68.800000,21.250000
3000.000000,-3172001.000000,0.000000,68.800000,21.250000
3000.000000,-3170001.000000,0.000000,68.800000,21.250000
3000.000000,-3168001.000000,0.000000,68.800000,21.250000
3000.000000,-3166001.000000,0.000000,68.800000,21.250000
3000.000000,-3164001.000000,0.000000,68.800000,21.250000
3000.000000,-3162001.000000,0.000000,68.800000,21.250000
3000.000000,-3160001.000000,0.000000,68.800000,21.250000
3000.000000,-3158001.000000,0.000000,68.800000,21.250000
3000.000000,-3156001.000000,0.000000,68.800000,21.250000
3000.000000,-3154001.000000,0.000000,68.800000,21.250000
3000.000000,-3152001.000000,0.000000,68.800000,21.250000
3000.000000,-3150001.000000,0.000000,68.800000,21.250000
3000.000000,-3148001.000000,0.000000,68.800000,21.250000
3000.000000,-3146001.000000,0.000000,68.800000,21.250000
3000.000000,-3144001.000000,0.000000,68.800000,21.250000
3000.000000,-3142001.000000,0.000000,68.800000,21.250000
3000.000000,-3140001.000000,0.000000,68.800000,21.250000
3000.000000,-3138001.000000,0.000000,68.800000,21.250000
5000.000000,-3338001.000000,0.000000,68.800000,21.250000
5000.000000,-3336001.000000,0.000000,68.800000,21.250000
5000.000000,-3334001.000000,0.000000,68.800000,21.250000
5000.000000,-3332001.000000,0.000000,68.800000,21.250000
5000.000000,-3330001.000000,0.000000,68.800000,21.250000
5000.000000,-3328001.000000,0.000000,68.800000,21.250000
5000.000000,-3326001.000000,0.000000,68.800000,21.250000
5000.000000,-3324001.000000,0.000000,68.800000,21.250000
5000.000000,-3322001.000000,0.000000,68.800000,21.250000
5000.000000,-3320001.000000,0.000000,68.800000,21.250000
5000.000000,-3318001.000000,0.000000,68.800000,21.250000
5000.000000,-3316001.000000,0.000000,68.800000,21.250000
5000.000000,-3314001.000000,0.000000,68.800000,21.250000
5000.000000,-3312001.000000,0.000000,68.800000,21.250000
5000.000000,-3310001.000000,0.000000,68.800000,21.250000
5000.000000,-3308001.000000,0.000000,68.800000,21.250000
5000.000000,-3306001.000000,0.000000,68.800000,21.250000
5000.000000,-3304001.000000,0.000000,68.800000,21.250000
5000.000000,-3302001.000000,0.000000,68.800000,21.250000
5000.000000,-3300001.000000,0.000000,68.800000,21.250000
5000.000000,-3298001.000000,0.000000,68.800000,21.250000
5000.000000,-3296001.000000,0.000000,68.800000,21.250000
5000.000000,-3294001.000000,0.000000,68.800000,21.250000
5000.000000,-3292001.000000,0.000000,68.800000,21.250000
5000.000000,-3290001.000000,0.000000,68.800000,21.250000
5000.000000,-3288001.000000,0.000000,68.800000,21.250000
5000.000000,-3286001.000000,0.000000,68.800000,21.250000
5000.000000,-3284001.000000,0.000000,68.800000,21.250000
5000.000000,-3282001.000000,0.000000,68.800000,21.250000
5000.000000,-3280001.000000,0.000000,68.800000,21.250000
5000.000000,-3278001.000000,0.000000,68.800000,21.250000
5000.000000,-3276001.000000,0.000000,68.800000,21.250000
5000.000000,-3274001.000000,0.000000,68.800000,21.250000
5000.000000,-3272001.000000,0.000000,68.800000,21.250000
5000.000000,-3270001.000000,0.000000,68.800000,21.250000
5000.000000,-3268001.000000,0.000000,68.800000,21.250000
5000.000000,-3266001.000000,0.000000,68.800000,21.250000
5000.000000,-3264001.000000,0.000000,68.800000,21.250000
5000.000000,-3262001.000000,0.000000,68.800000,21.250000
5000.000000,-3260001.000000,0.000000,68.800000,21.250000
5000.000000,-3258001.000000,0.000000,68.800000,21.250000
5000.000000,-3256001.000000,0.000000,68.800000,21.250000
5000.000000,-3254001.000000,0.000000,68.800000,21.250000
5000.000000,-3252001.000000,0.000000,68.800000,21.250000
5000.000000,-3250001.000000,0.000000,68.800000,21.250000
5000.000000,-3248001.000000,0.000000,68.800000,21.250000
5000.000000,-3246001.000000,0.000000,68.800000,21.250000
5000.000000,-3244001.000000,0.000000,68.800000,21.250000
5000.000000,-3242001.000000,0.000000,68.800000,21.250000
5000.000000,-3240001.000000,0.000000,68.800000,21.250000
5000.000000,-3238001.000000,0.000000,68.800000,21.250000
5000.000000,-3236001.000000,0.000000,68.800000,21.250000
5000.000000,-3234001.000000,0.000000,68.800000,21.250000
5000.000000,-3232001.000000,0.000000,68.800000,21.250000
5000.000000,-3230001.000000,0.000000,68.800000,21.250000
5000.000000,-3228001.000000,0.000000,68.800000,21.250000
5000.000000,-3226001.000000,0.000000,68.800000,21.250000
5000.000000,-3224001.000000,0.000000,68.800000,21.250000
5000.000000,-3222001.000000,0.000000,68.800000,21.250000
5000.000000,-3220001.000000,0.000000,68.800000,21.250000
5000.000000,-3218001.000000,0.000000,68.800000,21.250000
5000.000000,-3216001.000000,0.000000,68.800000,21.250000
5000.000000,-3214001.000000,0.000000,68.800000,21.250000
5000.000000,-3212001.000000,0.000000,68.800000,21.250000
5000.000000,-3210001.000000,0.000000,68.800000,21.250000
5000.000000,-3208001.000000,0.000000,68.800000,21.250000
5000.000000,-3206001.000000,0.000000,68.800000,21.250000
5000.000000,-3204001.000000,0.000000,68.800000,21.250000
5000.000000,-3202001.000000,0.000000,68.800000,21.250000
5000.000000,-3200001.000000,0.000000,68.800000,21.250000
5000.000000,-3198001.000000,0.000000,68.800000,21.250000
5000.000000,-3196001.000000,0.000000,68.800000,21.250000
5000.000000,-3194001.000000,0.000000,68.800000,21.250000
5000.000000,-3192001.000000,0.000000,68.800000,21.250000
5000.000000,-3190001.000000,0.000000,68.800000,21.250000
5000.000000,-3188001.000000,0.000000,68.800000,21.250000
5000.000000,-3186001.000000,0.000000,68.800000,21.250000
5000.000000,-3184001.000000,0.000000,68.800000,21.250000
5000.000000,-3182001.000000,0.000000,68.800000,21.250000
5000.000000,-3180001.000000,0.000000,68.800000,21.250000
5000.000000,-3178001.000000,0.000000,68.800000,21.250000
5000.000000,-3176001.000000,0.000000,68.800000,21.250000
5000.000000,-3174001.000000,0.000000,68.800000,21.250000
5000.000000,-3172001.000000,0.000000,68.800000,21.250000
5000.000000,-3170001.000000,0.000000,68.800000,21.250000
5000.000000,-3168001.000000,0.000000,68.800000,21.250000
5000.000000,-3166001.000000,0.000000,68.800000,21.250000
5000.000000,-3164001.000000,0.000000,68.800000,21.250000
5000.000000,-3162001.000000,0.000000,68.800000,21.250000
5000.000000,-3160001.000000,0.000000,68.800000,21.250000
5000.000000,-3158001.000000,0.000000,68.800000,21.250000
5000.000000,-3156001.000000,0.000000,68.800000,21.250000
5000.000000,-3154001.000000,0.000000,68.800000,21.250000
5000.000000,-3152001.000000,0.000000,68.800000,21.250000
5000.000000,-3150001.000000,0.000000,68.800000,21.250000
5000.000000,-3148001.000000,0.000000,68.800000,21.250000
5000.000000,-3146001.000000,0.000000,68.800000,21.250000
5000.000000,-3144001.000000,0.000000,68.800000,21.250000
5000.000000,-3142001.000000,0.000000,68.800000,21.250000
5000.000000,-3140001.000000,0.000000,68.800000,21.250000
5000.000000,-3138001.000000,0.000000,68.800000,21.250000
7000.000000,-3338001.000000,0.000000,68.800000,21.250000
7000.000000,-3336001.000000,0.000000,68.800000,21.250000
7000.000000,-3334001.000000,0.000000,68.800000,21.250000
7000.000000,-3332001.000000,0.000000,68.800000,21.250000
7000.000000,-3330001.000000,0.000000,68.800000,21.250000
7000.000000,-3328001.000000,0.000000,68.800000,21.250000
7000.000000,-3326001.000000,0.000000,68.800000,21.250000
7000.000000,-3324001.000000,0.000000,68.800000,21.250000
7000.000000,-3322001.000000,0.000000,68.800000,21.250000
7000.000000,-3320001.000000,0.000000,68.800000,21.250000
7000.000000,-3318001.000000,0.000000,68.800000,21.250000
7000.000000,-3316001.000000,0.000000,68.800000,21.250000
7000.000000,-3314001.000000,0.000000,68.800000,21.250000
7000.000000,-3312001.000000,0.000000,68.800000,21.250000
7000.000000,-3310001.000000,0.000000,68.800000,21.250000
7000.000000,-3308001.000000,0.000000,68.800000,21.250000
7000.000000,-3306001.000000,0.000000,68.800000,21.250000
7000.000000,-3304001.000000,0.000000,68.800000,21.250000
7000.000000,-3302001.000000,0.000000,68.800000,21.250000
7000.000000,-3300001.000000,0.000000,68.800000,21.250000
7000.000000,-3298001.000000,0.000000,68.800000,21.250000
7000.000000,-3296001.000000,0.000000,68.800000,21.250000
7000.000000,-3294001.000000,0.000000,68.800000,21.250000
7000.000000,-3292001.000000,0.000000,68.800000,21.250000
7000.000000,-3290001.000000,0.000000,68.800000,21.250000
7000.000000,-3288001.000000,0.000000,68.800000,21.250000
7000.000000,-3286001.000000,0.000000,68.800000,21.250000
7000.000000,-3284001.000000,0.000000,68.800000,21.250000
7000.000000,-3282001.000000,0.000000,68.800000,21.250000
7000.000000,-3280001.000000,0.000000,68.800000,21.250000
7000.000000,-3278001.000000,0.000000,68.800000,21.250000
7000.000000,-3276001.000000,0.000000,68.800000,21.250000
7000.000000,-3274001.000000,0.000000,68.800000,21.250000
7000.000000,-3272001.000000,0.000000,68.800000,21.250000
7000.000000,-3270001.000000,0.000000,68.800000,21.250000
7000.000000,-3268001.000000,0.000000,68.800000,21.250000
7000.000000,-3266001.000000,0.000000,68.800000,21.250000
7000.000000,-3264001.000000,0.000000,68.800000,21.250000
7000.000000,-3262001.000000,0.000000,68.800000,21.250000
7000.000000,-3260001.000000,0.000000,68.800000,21.250000
7000.000000,-3258001.000000,0.000000,68.800000,21.250000
7000.000000,-3256001.000000,0.000000,68.800000,21.250000
7000.000000,-3254001.000000,0.000000,68.800000,21.250000
7000.000000,-3252001.000000,0.000000,68.800000,21.250000
7000.000000,-3250001.000000,0.000000,68.800000,21.250000
7000.000000,-3248001.000000,0.000000,68.800000,21.250000
7000.000000,-3246001.000000,0.000000,68.800000,21.250000
7000.000000,-3244001.000000,0.000000,68.800000,21.250000
7000.000000,-3242001.000000,0.000000,68.800000,21.250000
7000.000000,-3240001.000000,0.000000,68.800000,21.250000
7000.000000,-3238001.000000,0.000000,68.800000,21.250000
7000.000000,-3236001.000000,0.000000,68.800000,21.250000
7000.000000,-3234001.000000,0.000000,68.800000,21.250000
7000.000000,-3232001.000000,0.000000,68.800000,21.250000
7000.000000,-3230001.000000,0.000000,68.800000,21.250000
7000.000000,-3228001.000000,0.000000,68.800000,21.250000
7000.000000,-3226001.000000,0.000000,68.800000,21.250000
7000.000000,-3224001.000000,0.000000,68.800000,21.250000
7000.000000,-3222001.000000,0.000000,68.800000,21.250000
7000.000000,-3220001.000000,0.000000,68.800000,21.250000
7000.000000,-3218001.000000,0.000000,68.800000,21.250000
7000.000000,-3216001.000000,0.000000,68.800000,21.250000
7000.000000,-3214001.000000,0.000000,68.800000,21.250000
7000.000000,-3212001.000000,0.000000,68.800000,21.250000
7000.000000,-3210001.000000,0.000000,68.800000,21.250000
7000.000000,-3208001.000000,0.000000,68.800000,21.250000
7000.000000,-3206001.000000,0.000000,68.800000,21.250000
7000.000000,-3204001.000000,0.000000,68.800000,21.250000
7000.000000,-3202001.000000,0.000000,68.800000,21.250000
7000.000000,-3200001.000000,0.000000,68.800000,21.250000
7000.000000,-3198001.000000,0.000000,68.800000,21.250000
7000.000000,-3196001.000000,0.000000,68.800000,21.250000
7000.000000,-3194001.000000,0.000000,68.800000,21.250000
7000.000000,-3192001.000000,0.000000,68.800000,21.250000
7000.000000,-3190001.000000,0.000000,68.800000,21.250000
7000.000000,-3188001.000000,0.000000,68.800000,21.250000
7000.000000,-3186001.000000,0.000000,68.800000,21.250000
7000.000000,-3184001.000000,0.000000,68.800000,21.250000
7000.000000,-3182001.000000,0.000000,68.800000,21.250000
7000.000000,-3180001.000000,0.000000,68.800000,21.250000
7000.000000,-3178001.000000,0.000000,68.800000,21.250000
7000.000000,-3176001.000000,0.000000,68.800000,21.250000
7000.000000,-3174001.000000,0.000000,68.800000,21.250000
7000.000000,-3172001.000000,0.000000,68.800000,21.250000
7000.000000,-3170001.000000,0.000000,68.800000,21.250000
7000.000000,-3168001.000000,0.000000,68.800000,21.250000
7000.000000,-3166001.000000,0.000000,68.800000,21.250000
7000.000000,-3164001.000000,0.000000,68.800000,21.250000
7000.000000,-3162001.000000,0.000000,68.800000,21.250000
7000.000000,-3160001.000000,0.000000,68.800000,21.250000
7000.000000,-3158001.000000,0.000000,68.800000,21.250000
7000.000000,-3156001.000000,0.000000,68.800000,21.250000
7000.000000,-3154001.000000,0.000000,68.800000,21.250000
7000.000000,-3152001.000000,0.000000,68.800000,21.250000
7000.000000,-3150001.000000,0.000000,68.800000,21.250000
7000.000000,-3148001.000000,0.000000,68.800000,21.250000
7000.000000,-3146001.000000,0.000000,68.800000,21.250000
7000.000000,-3144001.000000,0.000000,68.800000,21.250000
7000.000000,-3142001.000000,0.000000,68.800000,21.250000
7000.000000,-3140001.000000,0.000000,68.800000,21.250000
7000.000000,-3138001.000000,0.000000,68.800000,21.250000
9000.000000,-3338001.000000,0.000000,68.800000,21.250000
9000.000000,-3336001.000000,0.000000,68.800000,21.250000
9000.000000,-3334001.000000,0.000000,68.800000,21.250000
9000.000000,-3332001.000000,0.000000,68.800000,21.250000
9000.000000,-3330001.000000,0.000000,68.800000,21.250000
9000.000000,-3328001.000000,0.000000,68.800000,21.250000
9000.000000,-3326001.000000,0.000000,68.800000,21.250000
9000.000000,-3324001.000000,0.000000,68.800000,21.250000
9000.000000,-3322001.000000,0.000000,68.800000,21.250000
9000.000000,-3320001.000000,0.000000,68.800000,21.250000
9000.000000,-3318001.000000,0.000000,68.800000,21.250000
9000.000000,-3316001.000000,0.000000,68.800000,21.250000
9000.000000,-3314001.000000,0.000000,68.800000,21.250000
9000.000000,-3312001.000000,0.000000,68.800000,21.250000
9000.000000,-3310001.000000,0.000000,68.800000,21.250000
9000.000000,-3308001.000000,0.000000,68.800000,21.250000
9000.000000,-3306001.000000,0.000000,68.800000,21.250000
9000.000000,-3304001.000000,0.000000,68.800000,21.250000
9000.000000,-3302001.000000,0.000000,68.800000,21.250000
9000.000000,-3300001.000000,0.000000,68.800000,21.250000
9000.000000,-3298001.000000,0.000000,68.800000,21.250000
9000.000000,-3296001.000000,0.000000,68.800000,21.250000
9000.000000,-3294001.000000,0.000000,68.800000,21.250000
9000.000000,-3292001.000000,0.000000,68.800000,21.250000
9000.000000,-3290001.000000,0.000000,68.800000,21.250000
9000.000000,-3288001.000000,0.000000,68.800000,21.250000
9000.000000,-3286001.000000,0.000000,68.800000,21.250000
9000.000000,-3284001.000000,0.000000,68.800000,21.250000
9000.000000,-3282001.000000,0.000000,68.800000,21.250000
9000.000000,-3280001.000000,0.000000,68.800000,21.250000
9000.000000,-3278001.000000,0.000000,68.800000,21.250000
9000.000000,-3276001.000000,0.000000,68.800000,21.250000
9000.000000,-3274001.000000,0.000000,68.800000,21.250000
9000.000000,-3272001.000000,0.000000,68.800000,21.250000
9000.000000,-3270001.000000,0.000000,68.800000,21.250000
9000.000000,-3268001.000000,0.000000,68.800000,21.250000
9000.000000,-3266001.000000,0.000000,68.800000,21.250000
9000.000000,-3264001.000000,0.000000,68.800000,21.250000
9000.000000,-3262001.000000,0.000000,68.800000,21.250000
9000.000000,-3260001.000000,0.000000,68.800000,21.250000
9000.000000,-3258001.000000,0.000000,68.800000,21.250000
9000.000000,-3256001.000000,0.000000,68.800000,21.250000
9000.000000,-3254001.000000,0.000000,68.800000,21.250000
9000.000000,-3252001.000000,0.000000,68.800000,21.250000
9000.000000,-3250001.000000,0.000000,68.800000,21.250000
9000.000000,-3248001.000000,0.000000,68.800000,21.250000
9000.000000,-3246001.000000,0.000000,68.800000,21.250000
9000.000000,-3244001.000000,0.000000,68.800000,21.250000
9000.000000,-3242001.000000,0.000000,68.800000,21.250000
9000.000000,-3240001.000000,0.000000,68.800000,21.250000
9000.000000,-3238001.000000,0.000000,68.800000,21.250000
9000.000000,-3236001.000000,0.000000,68.800000,21.250000
9000.000000,-3234001.000000,0.000000,68.800000,21.250000
9000.000000,-3232001.000000,0.000000,68.800000,21.250000
9000.000000,-3230001.000000,0.000000,68.800000,21.250000
9000.000000,-3228001.000000,0.000000,68.800000,21.250000
9000.000000,-3226001.000000,0.000000,68.800000,21.250000
9000.000000,-3224001.000000,0.000000,68.800000,21.250000
9000.000000,-3222001.000000,0.000000,68.800000,21.250000
9000.000000,-3220001.000000,0.000000,68.800000,21.250000
9000.000000,-3218001.000000,0.000000,68.800000,21.250000
9000.000000,-3216001.000000,0.000000,68.800000,21.250000
9000.000000,-3214001.000000,0.000000,68.800000,21.250000
9000.000000,-3212001.000000,0.000000,68.800000,21.250000
9000.000000,-3210001.000000,0.000000,68.800000,21.250000
9000.000000,-3208001.000000,0.000000,68.800000,21.250000
9000.000000,-3206001.000000,0.000000,68.800000,21.250000
9000.000000,-3204001.000000,0.000000,68.800000,21.250000
9000.000000,-3202001.000000,0.000000,68.800000,21.250000
9000.000000,-3200001.000000,0.000000,68.800000,21.250000
9000.000000,-3198001.000000,0.000000,68.800000,21.250000
9000.000000,-3196001.000000,0.000000,68.800000,21.250000
9000.000000,-3194001.000000,0.000000,68.800000,21.250000
9000.000000,-3192001.000000,0.000000,68.800000,21.250000
9000.000000,-3190001.000000,0.000000,68.800000,21.250000
9000.000000,-3188001.000000,0.000000,68.800000,21.250000
9000.000000,-3186001.000000,0.000000,68.800000,21.250000
9000.000000,-3184001.000000,0.000000,68.800000,21.250000
9000.000000,-3182001.000000,0.000000,68.800000,21.250000
9000.000000,-3180001.000000,0.000000,68.800000,21.250000
9000.000000,-3178001.000000,0.000000,68.800000,21.250000
9000.000000,-3176001.000000,0.000000,68.800000,21.250000
9000.000000,-3174001.000000,0.000000,68.800000,21.250000
9000.000000,-3172001.000000,0.000000,68.800000,21.250000
9000.000000,-3170001.000000,0.000000,68.800000,21.250000
9000.000000,-3168001.000000,0.000000,68.800000,21.250000
9000.000000,-3166001.000000,0.000000,68.800000,21.250000
9000.000000,-3164001.000000,0.000000,68.790000,21.250000
9000.000000,-3162001.000000,0.000000,68.800000,21.250000
9000.000000,-3160001.000000,0.000000,68.800000,21.250000
9000.000000,-3158001.000000,0.000000,68.800000,21.250000
9000.000000,-3156001.000000,0.000000,68.800000,21.250000
9000.000000,-3154001.000000,0.000000,68.800000,21.250000
9000.000000,-3152001.000000,0.000000,68.800000,21.250000
9000.000000,-3150001.000000,0.000000,68.800000,21.250000
9000.000000,-3148001.000000,0.000000,68.790000,21.250000
9000.000000,-3146001.000000,0.000000,68.790000,21.250000
9000.000000,-3144001.000000,0.000000,68.800000,21.250000
9000.000000,-3142001.000000,0.000000,68.800000,21.250000
9000.000000,-3140001.000000,0.000000,68.790000,21.250000
9000.000000,-3138001.000000,0.000000,68.790000,21.250000
11000.000000,-3338001.000000,0.000000,68.790000,21.250000
11000.000000,-3336001.000000,0.000000,68.790000,21.250000
11000.000000,-3334001.000000,0.000000,68.790000,21.250000
11000.000000,-3332001.000000,0.000000,68.790000,21.250000
11000.000000,-3330001.000000,0.000000,68.790000,21.250000
